,0,1,2,3,4
2053,"""1945: 12 Städte, 12 Schicksale""",(2015),Sopot, Pomorskie,"(54.44190905, 18.54309444570447)"
2060,"""1945: 12 Städte, 12 Schicksale""",(2015),Halle, Saxony-Anhalt,"(51.4825041, 11.9705452)"
2068,"""800 Words""",(2015),Auckland, New Zealand,"(-36.852095, 174.7631803)"
2076,"""1945: 12 Städte, 12 Schicksale""",(2015),Plagwitz, Leipzig,"(51.3281994, 12.3382998)"
2086,"""12 Monkeys""",(2015),Detroit Institute of Arts Museum, Detroit,"(42.3595105, -83.06452586249985)"
2104,"""2015 Stanley Cup Finals""",(2015),United Center - 1901 W. Madison Street, Near West Side,"(41.88068305, -87.67418510441388)"
2136,"""2015 MTV Video Music Awards with People Magazine""",(2015),Los Angeles, California,"(34.0536909, -118.242766)"
2176,"""A Very British Romance""",(2015),Library of Birmingham, Birmingham,"(52.47968625, -1.9084782773901874)"
2180,"""800 Words""",(2015),11 Elizabeth St, Warkworth,"(-40.8780438, 175.0672146)"
2201,"""1945: 12 Städte, 12 Schicksale""",(2015),Vörkuta, Russia,"(67.4948535, 64.0399469)"
2205,"""888.com World Grand Prix""",(2015),Venue Cymru, Llandudno,"(53.32180635, -3.817129991629856)"
2234,"""1945: 12 Städte, 12 Schicksale""",(2015),Buchenwald, Weimar,"(47.821004200000004, 12.655470783899098)"
2247,"""100 Frogs""",(2015),Manhattan, New York City,"(40.7896239, -73.9598939)"
2256,"""5 minuts tard""",(2015),Barcelona, Catalonia,"(41.3828939, 2.1774322)"
2269,"""1945: 12 Städte, 12 Schicksale""",(2015),Utrecht, Netherlands,"(52.080985600000005, 5.12768396945229)"
2341,"""A que no me dejas""",(2015),Cancun, Quintana Roo,"(21.1617854, -86.8510468)"
2344,"""1945: 12 Städte, 12 Schicksale""",(2015),Ohrdruf, Thuringia,"(50.8270085, 10.7319499)"
2348,"""8MMM Aboriginal Radio""",(2015),Alice Springs, Northern Territory,"(-23.6983884, 133.8812885)"
2374,"""1945: 12 Städte, 12 Schicksale""",(2015),Chemnitz, Saxony,"(50.8322608, 12.9252977)"
2383,"""12 Monkeys""",(2015),Vaughan, Ontario,"(43.7941544, -79.5268023)"
2405,"""A Única Mulher""",(2015),Parque Nacional da Quiçama, Angola,"(-22.22002955, -41.55228280213527)"
2438,"""800 Words""",(2015),Sydney, New South Wales,"(-33.8548157, 151.2164539)"
2442,"""2015 World Series""",(2015),Kauffman Stadium - 1 Royal Way, Kansas City,"(39.05144525, -94.48047131020274)"
